sorszam;kifejezes;hir_cim;hir_forras;hir_url;hir_ido_utc;hir_kep;hir_kivonat
4;economx;Sírva fakadtak az utasok, amikor Orbán Viktor felszállt a Wizz Air-járatra;Economx.hu;https://www.economx.hu/belfold/2026/07/23/orban-viktor-wizz-air-tusnad/;;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRtehknfhndOCMdzwecPzujX1V4qj_ZUcew6qDYI35P2ts9DTB8TrNh36TRnUg;
5;villám;"Egy anyát és két gyermekét villám csapott, miközben visszatértek a földekről végzett munkából; a gyerekek közül kettő meghalt.";Vietnam.vn;https://www.vietnam.vn/hu/3-me-con-di-lam-nuong-ve-bi-set-danh-2-con-tu-vong;;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwccpXovfc3CZB-FC1qYmjRLYbZPfGLUYEcXytvP0703GbGUfWoVs6dHNYdCU;
5;villám;Magyarok kerültek bajba Horvátországban: elsodorta őket az Adriai-tenger;Világgazdaság;https://www.vg.hu/nemzetkozi-gazdasag/2026/07/tenger-horvatorszag-baleset-kamenjak-fok;;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQOr0mOSACoUU_mD7jbozIS4t336Nw0tFT8NX_W0LIQNjsoFkWC6zlYtgYOycY;
5;villám;Rendkívüli katasztrófa a magyarok kedvenc üdülőhelyén: fejvesztve menekültek a nyaralók;Pénzcentrum;https://www.penzcentrum.hu/utazas/20260720/rendkivuli-katasztrofa-a-magyarok-kedvenc-udulohelyen-fejvesztve-menekultek-a-nyaralok-1202541;;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR7PB26KPZ_ydjcBQ5r6s1xXvlLIJfKKY-GGMHD9joo7E-TAFmmYxYecDv-CFc;
6;konferencia liga;Kl-selejtező: idegenbeli siker az ETO lehetséges ellenfeleinek meccsén;Nemzeti Sport;https://www.nemzetisport.hu/europa-konferencialiga/2026/07/kl-selejtezo-idegenbeli-siker-az-eto-lehetseges-ellenfeleinek-meccsen;;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRQh_U14n6BXjyxhIgNXxJde6vLSQ8H55069gmqaJVEKy7PZUKWhuONCV2TuKY;
6;konferencia liga;Nyolcgólos meccsen nyert a Győr a Konferencia Ligában;24.hu;https://24.hu/sport/foci/2026/07/21/konferencia-liga-selejtezo-atert-bissen-gyor/;;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSijaFv5FLV7mE6lREU9neXeF8Ok0RAXBVNVhhaepJ6unJcNtYsHvrP_PkYADg;
6;konferencia liga;Hatot vágott idegenben, gyakorlatilag továbbjutott a magyar bajnok ETO FC Győr;Index.hu;https://index.hu/sport/futball/2026/07/21/konferencialiga-2026-2027-selejtezo-2.-fordulo-elso-merkozes-atert-bissen-eto-fc-gyor-osszefoglalo/;;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRSTJP-ickOJLiWWKbVDUttXwu0A5VHEgCMQD_11KJSgJxYbOlNuUC51I8vA-I;
7;qarabag–cszka szófia;"Qarabag FK - CSZKA Szofija Összefoglaló: Labdarúgás gólok &amp; Összefoglalók";Eurosport;https://www.eurosport.hu/labdarugas/uefa-europa-liga/2026-2027/live-qarabag-fk-cszka-szofija_mtc21878737/live.shtml;;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQmmdPdxkI40ofKRHWkYoxKc0YBFLt4enZfFEIKm1gxoSHsVU57qL1GuPsquF4;
7;qarabag–cszka szófia;Hol nézhető a Qarabag vs CSZKA közvetítés? Online és TV infók!;Sportfortuna.com;https://sportfortuna.com/tippmix-blog/hol-nezheto-a-qarabag-vs-cszka/;;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSn6x7oKbt8Rbmm_CfhUB1GUBnTIdtGnOaa3sq6PvIsNBixBNopLjeSZFrDg-o;
7;qarabag–cszka szófia;A Nap Tippje: Qarabag FK - CSKA Szófia;Tipplap.hu;https://www.tipplap.hu/foci/euroliga/a-nap-tippje-qarabag-fk-cska-szofia;;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTL-XIObfs8vj8AGN92gKNFD4LeoropSPHrnpY7YABZKqKk2aWdtZ0IyA4ZWCs;
8;dvsc–pjunik;Konferencialiga: Debrecen–Pjunik Jereván;Nemzeti Sport;https://www.nemzetisport.hu/europa-konferencialiga/2026/07/konferencialiga-debrecen-pjunik-jerevan;;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQCh2Vu1B5gPAMVWQVhbicgBnlWmvDoGx76fQKH6VAtBD_IsWmF6VrawYqtJ9g;
8;dvsc–pjunik;Hazai pályán rajtol a Paks és a DVSC: újabb két magyar csapat kezdi meg szereplését Európában;M4 Sport;https://m4sport.hu/magyar-foci/cikk/2026/07/23/hazai-palyan-rajtol-a-paks-es-a-dvsc-ujabb-ket-magyar-csapat-kezdi-meg-szerepleset-europaban;;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRktABsb4G6rnV_nJJz7PJlN4ZBiKAflOx-KGdKOmhOFU6XfZfGAq3kCTOdKGE;
8;dvsc–pjunik;"Dzsudzsák KL-csoportkörről álmodik: &quot;Bízom benne, hogy ez már csütörtökön meg fog látszani&quot;";Csakfoci;https://www.csakfoci.hu/kulfoldi-foci/dzsudzsak-kl-csoportkorrol-almodik-bizom-benne-hogy-ez-mar-csutortokon-meg-fog-latszani;;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR6S4GnqYFLf0ROshieTdLwoncidf08_daVT_zhVxg93W1F0XctQPgD8LpcWE4;
9;margit híd;Belföld - Robbanószerkezetet találtak, péntek hajnalban lezárják a Margit hidat;Index.hu;https://index.hu/belfold/2026/07/23/margit-hid-robbanoszerkezet-rendorseg-katasztrofavedelem-magyar-honvedseg-tuzszereszek/;;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTq3Wkw3mocZMwjFbblx8Os-BlSq1YD2WApYQLEgOCXvH4fFEg_chvTxVQM9b0;
9;margit híd;Második világháborús bomba miatt péntek hajnalban lezárják a Margit hidat;444;https://444.hu/2026/07/23/egy-feltetelezett-robbanotest-miatt-pentek-hajnalban-lezarjak-a-margit-hidat-pentek-hajnalban;;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS39EdcEJ9s1fhhbFOXiTOxP2pmrDJ12dNPwyHQndCAfp-LVKySuCTy8g2tbsg;
9;margit híd;Világháborús bomba és régi hajóroncs is előkerült az apadó Duna horvátországi szakaszán;Telex;https://telex.hu/kulfold/2026/07/22/vilaghaborus-bomba-es-szazeves-hajoroncs-kerult-elo-az-apado-duna-horvatorszagi-szakaszan;;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTePMog9Hnm-4pYXYAfzVL1Zn40lJKr92j88arHrXgtFrOg_biyGh86qk7pD5Y;
10;dvtk;A DVTK játékosa külföldre igazolt;Hirnavigator;https://hirnavigator.hu/hir/10542037-a-dvtk-jatekosa-kulfoldre-igazolt;;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSuitMFxRuidB2uw-yOJjiAb0lcJrbguI1jCy4seQAzwiwVuf0gY5yYyL54z_k;
10;dvtk;A DVTK játékosa külföldre igazolt;BOON;https://www.boon.hu/helyi-sport/2026/07/dvtk-labdarugas-harmadosztaly-kulfold-atigazolas;;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDKXQsyfZiP8mosSK_NG6hLs0gBZvLeSorddqjJ4D_cJSldgKqPtzEdz4Nkq8;
10;dvtk;Fúzióra lép a DVTK és az Eger SE – dr. Vitányi László az élvonalbeli kispadon;HEOL;https://www.heol.hu/helyi-sport/2026/07/fuziora-lep-a-dvtk-es-az-eger-se-dr-vitanyi-laszlo;;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQS8uYiV4XS-j9JO5RtxPJ7paZBAnAiOwLUQnqjJxUfT2Ue0eiQ-ySBRMJeaa8;
