sorszam;kifejezes;volumen;novekedes_pct;trend_indult_utc;trend_veget_ert_utc;aktiv;kapcsolodo_kifejezesek;temak;normalizalt_kifejezes;letoltve_utc;forras;geo
52;stevenage–west ham;500;800;2026-07-22T18:50:00+00:00;2026-07-23T05:30:00+00:00;nem;stevenage–west ham;Sports;stevenage–west ham;2026-07-23T17:45:50+00:00;trending_now;HU
53;hőkupola;1000;900;2026-07-23T03:00:00+00:00;2026-07-23T05:30:00+00:00;nem;hőkupola;Other;hokupola;2026-07-23T17:45:50+00:00;trending_now;HU
54;maidenhead united–wolverhampton;500;700;2026-07-22T18:50:00+00:00;2026-07-23T05:00:00+00:00;nem;maidenhead united–wolverhampton;Sports;maidenhead united–wolverhampton;2026-07-23T17:45:50+00:00;trending_now;HU
55;tarjányi péter;200;300;2026-07-23T02:50:00+00:00;2026-07-23T07:10:00+00:00;nem;tarjányi péter;Politics;tarjanyi peter;2026-07-23T17:45:50+00:00;trending_now;HU
56;sótonyi lászló;200;400;2026-07-23T03:10:00+00:00;2026-07-23T14:30:00+00:00;nem;sótonyi lászló;Sports;sotonyi laszlo;2026-07-23T17:45:50+00:00;trending_now;HU
57;európai ügyészség;200;600;2026-07-23T04:40:00+00:00;2026-07-23T07:10:00+00:00;nem;európai ügyészség;Law and Government;europai ugyeszseg;2026-07-23T17:45:50+00:00;trending_now;HU
58;magyar kerékpárosklub;100;600;2026-07-23T05:40:00+00:00;2026-07-23T07:20:00+00:00;nem;magyar kerékpárosklub;Law and Government;magyar kerekparosklub;2026-07-23T17:45:50+00:00;trending_now;HU
59;skandináv lottó nyerőszámok;200;50;2026-07-23T02:50:00+00:00;2026-07-23T06:00:00+00:00;nem;skandináv lottó nyerőszámok;Games;skandinav lotto nyeroszamok;2026-07-23T17:45:50+00:00;trending_now;HU
60;defibrillátor;100;400;2026-07-23T04:30:00+00:00;2026-07-23T06:20:00+00:00;nem;defibrillátor;Other;defibrillator;2026-07-23T17:45:50+00:00;trending_now;HU
61;recreativo–betis;100;400;2026-07-22T19:50:00+00:00;2026-07-23T04:40:00+00:00;nem;recreativo–betis;Sports;recreativo–betis;2026-07-23T17:45:50+00:00;trending_now;HU
62;legfőbb ügyész lemondott;200;300;2026-07-22T21:20:00+00:00;2026-07-23T00:30:00+00:00;nem;legfőbb ügyész lemondott, nagy gábor bálint legfőbb ügyész;Law and Government;legfobb ugyesz lemondott;2026-07-23T17:45:50+00:00;trending_now;HU
63;železničar pančevo–braga;200;1000;2026-07-22T18:50:00+00:00;2026-07-23T04:00:00+00:00;nem;železničar pančevo–braga;Sports;zeleznicar pancevo–braga;2026-07-23T17:45:50+00:00;trending_now;HU
64;weather budapest;100;200;2026-07-23T07:40:00+00:00;2026-07-23T08:30:00+00:00;nem;weather budapest;Sports;weather budapest;2026-07-23T17:45:50+00:00;trending_now;HU
65;84 es főút;100;300;2026-07-22T19:30:00+00:00;2026-07-23T03:50:00+00:00;nem;84 es főút;Other;84 es fout;2026-07-23T17:45:50+00:00;trending_now;HU
